Author,Title,Tags
"Kafka, Franz",La condena,Literatura Universal
"Kafka, Franz",Ante la ley,Literatura Universal
"Kafka, Franz",Metamorphosis,Literatura Universal
"Kafka, Franz",La metamorfosis,Palabras sinfónicas (audiolibros)
"Khalil Gibrán, Gibrán",El Profeta,Literatura Universal|Autoayuda
"Kierkegaard, Sören",Diario de un seductor,Literatura Universal
"Kipling, Rudyard",Capitanes intrépidos,Literatura Universal
"Kipling, Rudyard",El libro de la selva,Infantil y juvenil
"Kirby, William",The golden dog,Literatura Universal
"Lawrence, D. H.",El arco iris,Literatura Universal
"Lawrence, D. H.",El zorro,Literatura Universal
"Leroux, Gastón",El fantasma de la ópera,Literatura Universal
"Leroux, Gaston",The Phantom of the Opera,Literatura Universal
"London, Jack",La llamada de la selva,Literatura Universal|Infantil y juvenil
"London, Jack",The call of the wild,Infantil y juvenil
"Lope de Vega, Félix",Fuenteovejuna,Literatura Universal|Literatura Hispanoamericana
"López Velarde, Ramón",El minutero,Literatura Hispanoamericana
"López Velarde, Ramón",La sangre devota,Literatura Hispanoamericana
"López Velarde, Ramón",Zozobra,Literatura Hispanoamericana
"Lovecraft, H.P.","Selección de cuentos (Lovecraft, H.P.)",Literatura Universal
"Lovecraft, H.P.",The call of Cthulhu,Infantil y juvenil
"Lovecraft, H.P.",The Dunwich Horror,Literatura Universal
"Lovecraft, H.P.",El alquimista,Infantil y juvenil
"Lovecraft, H.P.",El caos reptante,Infantil y juvenil
"Lovecraft, H.P.",Misterioso barco a la deriva rescatado en alta mar,Infantil y juvenil
"Lovecraft, H.P.","Selección de cuentos (Lovecraft, H.P.)",Palabras sinfónicas (audiolibros)
"Loyola, Ignacio de",Ejercicios espirituales,Ensayo|Autoayuda
"Lugones, Leopoldo",Las manzanas verdes,Literatura Hispanoamericana
"Machado, Antonio",Juan de Mairena,Literatura Hispanoamericana|Historia y Novela histórica
"Machado, Antonio",Abel Martín,Literatura Universal
"Machiavelli, Nicolò",The Prince,Literatura Universal
"Malory, Thomas",El Rey Arturo y los Caballeros de la Mesa Redonda,Literatura Universal|Historia y Novela histórica
"Mann, Heinrich",El ángel azul,Literatura Universal
"Mann, Heinrich",El súbdito,Literatura Universal
"Mann, Thomas",La montaña mágica,Literatura Universal
"Mansilla, Lucio V.",Una excursión a los indios ranqueles Tomo 1,Literatura Hispanoamericana
"Maquiavelo, Nicolás",El príncipe,Literatura Universal
"Maquiavelo, Nicolás",La Mandrágora,Literatura Universal
"Mariátegui, José",Siete ensayos de interpretación de la realidad peruana,Ensayo
"Marlowe, Christopher",La trágica historia del doctor Fausto,Literatura Universal
"Marlowe, Christopher",The Tragical History of Doctor Faustus,Literatura Universal
"Marlowe, Christopher",Edward the second,Literatura Universal
"Mármol, José",Amalia,Literatura Hispanoamericana
"Martí, José",Amistad funesta,Literatura Hispanoamericana|Ensayo
"Martí, José",Nuestra América,Literatura Hispanoamericana|Historia y Novela histórica|Ensayo
"Martí, José",Amistad funesta,Palabras sinfónicas (audiolibros)
"Maupassant, Guy de",El Horla,Literatura Universal
"Maupassant, Guy de",The Horla,Literatura Universal
"May Alcott, Louisa",Mujercitas,Palabras sinfónicas (audiolibros)
"McSpadden, J. Walker",Robin Hood,Literatura Universal
"Melville, Herman",Moby Dick,Literatura Universal|Infantil y juvenil
"Melville, Herman","Bartleby, el escribiente",Literatura Universal
"Melville, Herman",Las encantadas,Literatura Universal
"Melville, Herman",Pierre o las ambigüedades,Literatura Universal
"Melville, Herman",Moby Dick,Infantil y juvenil
"Melville, Herman","Bartleby, the Scrivener: A Story of Wall-Street",Literatura Universal
"Melville, Herman",Pierre; or The Ambiguities,Literatura Universal
"Melville, Herman",Moby Dick,Palabras sinfónicas (audiolibros)
"Milne, A. A.",Winny de Puh,Infantil y juvenil
"Milne, A. A.",El rincón de Puh,Infantil y juvenil
"Milne, A. A.",El misterio de la casa roja,Literatura Universal
"Milne, A. A.",Winnie the Pooh,Infantil y juvenil
"Milton, John",El paraíso perdido,Literatura Universal
"Milton, John",Paradise Lost,Literatura Universal
"Mistral, Gabriela","Desolación, Ternura, Tala, Lagar",Literatura Hispanoamericana
"Molina, Tirso de",Celos con celos se curan,Literatura Universal|Literatura Hispanoamericana
"Montaigne, Michel de","Selección de ensayos (Montaigne, Michel de)",Literatura Universal|Ensayo
"Montaigne, Michel de",Essays of Michel de Montaigne,Ensayo
"Montaigne, Michel de",Selección de ensayos,Palabras sinfónicas (audiolibros)
"Montessori, Maria",Dr. Montessori's own Handbook,Ensayo
"Montgomery, L. M.",The golden road,Literatura Universal
"Montgomery, L. M.",Rainbow Valley,Literatura Universal
"Montgomery, Lucy Maud",Ana de las tejas verdes,Literatura Universal
"More, Thomas",Utopia,Literatura Universal
"Moro, Tomás",Utopía,Literatura Universal
"Némirovsky, Irène",El baile,Literatura Universal
"Nervo, Amado","Poemas (Nervo, Amado)",Literatura Hispanoamericana
"Nervo, Amado",Amnesia,Literatura Hispanoamericana
"Nervo, Amado",La amada inmóvil,Literatura Hispanoamericana
"Núñez Cabeza de Vaca, Álvar",Naufragios,Literatura Universal|Literatura Hispanoamericana|Historia y Novela histórica
"Olaguíbel, Francisco M. de",¡Pobre bebé!: Cuentos frívolos,Literatura Hispanoamericana
"Ortega Munilla, José",Lecturas infantiles,Infantil y juvenil
"Ortega Munilla, José",El niño de París,Literatura Hispanoamericana
"Othón, Manuel José","Selección de poemas (Othón, Manuel José)",Literatura Hispanoamericana
"Othón, Manuel José",Cuentos de espantos y novelas rústicas,Literatura Hispanoamericana
"Othón, Manuel José","Selección de poemas (Othón, Manuel José)",Palabras sinfónicas (audiolibros)
Ovidio,Las metamorfosis,Literatura Universal
Ovidio,Arte de amar,Literatura Universal
Ovidio,Arte de amar,Palabras sinfónicas (audiolibros)
"Palacio Valdés, Armando",La aldea perdida,Literatura Hispanoamericana
"Palma, Angélica",Crónicas de Marianela,Literatura Hispanoamericana
"Palma, Ricardo",Tradiciones peruanas,Literatura Hispanoamericana|Historia y Novela histórica
"Pardo Bazán, Emilia",Un viaje de novios,Literatura Universal|Literatura Hispanoamericana
"Pardo Bazán, Emilia",Cuentos de amor,Literatura Universal|Literatura Hispanoamericana
"Pardo Bazán, Emilia",El saludo de las brujas,Literatura Universal
"Pardo Bazán, Emilia",Doña Milagros,Literatura Universal
"Pardo Bazán, Emilia",La sirena negra,Literatura Universal
"Pardo Bazán, Emilia",La gota de sangre,Literatura Hispanoamericana
"Pavese, Cesare",El camarada,Literatura Universal
"Pavese, Cesare",El oficio de vivir,Ensayo
"Pavese, Cesare",La playa,Literatura Universal
"Payno, Manuel",Costumbres mexicanas,Literatura Hispanoamericana|Historia y Novela histórica
"Payno, Manuel",Los bandidos de río frío,Literatura Hispanoamericana
"Payno, Manuel",Costumbres mexicanas,Palabras sinfónicas (audiolibros)
"Perelmán, Yákov",¿Sabe Ud. Física?,Académicos
"Perelmán, Yákov",Aritmética recreativa,Académicos
"Perelmán, Yákov",Física recreativa 1,Académicos
"Perelmán, Yákov",¿Sabe Ud. Física?,Académicos
"Perelmán, Yákov",Aritmética recreativa,Académicos
"Perelmán, Yákov",Física recreativa 1,Académicos
"Pérez Galdós, Benito",Marianela,Literatura Universal
"Pérez Galdós, Benito",Doña Perfecta,Literatura Universal
"Pérez Galdós, Benito",El abuelo,Literatura Universal
"Pérez Galdós, Benito",El caballero encantado,Literatura Universal
"Pérez Galdós, Benito",Marianela,Palabras sinfónicas (audiolibros)
"Perrault, Charles",The Tales of Mother Goose,Infantil y juvenil
"Pessoa, Fernando",Libro del desasosiego,Literatura Universal
"Peza, Juan de Dios",Leyendas de las calles de Méjico,Literatura Hispanoamericana
"Peza, Juan de Dios",Cuentos y recuerdos personales,Literatura Hispanoamericana
"Peza, Juan de Dios",Leyendas de las calles de Méjico,Palabras sinfónicas (audiolibros)
"Pirandello, Luigi",Seis personajes en busca de autor,Literatura Universal
Plato,Crito,Literatura Universal
Platón,El banquete,Ensayo
Platón,La República,Ensayo
Plinio el Viejo,Historia Natural,Historia y Novela histórica
Plutarco,Vidas paralelas,Ensayo
"Poe, Edgar Allan","Selección de cuentos (Poe, Edgar Allan)",Literatura Universal
"Poe, Edgar Allan",The Works of Edgar Allan Poe — Volume 1,Literatura Universal
"Poe, Edgar Allan",The Works of Edgar Allan Poe — Volume 2,Literatura Universal
"Poe, Edgar Allan",The Works of Edgar Allan Poe — Volume 3,Literatura Universal
"Poe, Edgar Allan",The Works of Edgar Allan Poe — Volume 4,Literatura Universal
"Poe, Edgar Allan",The Works of Edgar Allan Poe — Volume 5,Literatura Universal
"Poe, Edgar Allan","Selección de cuentos (Poe, Edgar Allan)",Palabras sinfónicas (audiolibros)
"Potter, Beatrix",The Tale of Peter Rabbit,Literatura Universal|Infantil y juvenil
"Potter, Beatrix",The Tale of Tom Kitten,Infantil y juvenil
"Potter, Beatrix",The Tale of Squirrel Nutkin,Infantil y juvenil
"Potter, Beatrix",The Tale of Benjamin Bunny,Infantil y juvenil
"Potter, Beatrix",The Tale of Mrs. Tiggy-Winkle,Infantil y juvenil
"Potter, Beatrix",The Tale of Peter Rabbit,Literatura Universal|Infantil y juvenil
"Potter, Beatrix",The Tale of Tom Kitten,Infantil y juvenil
"Potter, Beatrix",The Tale of Squirrel Nutkin,Infantil y juvenil
"Potter, Beatrix",The Tale of Benjamin Bunny,Infantil y juvenil
"Potter, Beatrix",The Tale of Mrs. Tiggy-Winkle,Infantil y juvenil
"Prieto, Guillermo",Cuadros de costumbres,Historia y Novela histórica
"Proust, Marcel",Por el camino de Swann,Literatura Universal
"Proust, Marcel",A la sombra de las muchachas en flor,Literatura Universal
"Proust, Marcel",El mundo de Guermantes,Literatura Universal
"Proust, Marcel",Sodoma y Gomorra,Literatura Universal
"Proust, Marcel",La prisionera,Literatura Universal
"Proust, Marcel",La fugitiva,Literatura Universal
"Proust, Marcel",El tiempo recobrado,Literatura Universal
"Pujol de Collado, Josefa",Amor de madre,Literatura Hispanoamericana
"Pushkin, Aleksandr S.",El jinete de bronce,Literatura Universal
"Queiros, Eça de",El Mandarín,Palabras sinfónicas (audiolibros)
"Quevedo, Francisco de",El Buscón,Literatura Hispanoamericana
"Quevedo, Francisco de",Juguetes de la niñez,Literatura Hispanoamericana
"Quiroga, Horacio","Cuentos de amor, de locura y de muerte",Literatura Hispanoamericana
"Quiroga, Horacio",A la deriva,Literatura Hispanoamericana
"Quiroga, Horacio","Cuentos de amor, de locura y de muerte",Palabras sinfónicas (audiolibros)
"Rabelais, François",Gargantúa y Pantagruel,Literatura Universal
"Racine, Jean",Phaedra,Literatura Universal
"Rand, Ayn",¡Vivir!,Literatura Universal
"Rand, Ayn",La rebelión de Atlas,Literatura Universal
"Reed, John",Diez días que estremecieron al mundo,Ensayo
"Rilke, Rainer Maria",Cartas a un joven poeta,Autoayuda
"Rilke, Rainer Maria",Cartas a un joven poeta,Palabras sinfónicas (audiolibros)
"Riva Palacio, Vicente","Monja y Casada, Virgen y Mártir",Literatura Hispanoamericana
"Riva Palacio, Vicente",Memorias de un impostor,Literatura Hispanoamericana|Historia y Novela histórica
"Riva Palacio, Vicente",Cuentos del general,Literatura Hispanoamericana
"Riva Palacio, Vicente",Las dos emparedadas,Literatura Hispanoamericana
"Riva Palacio, Vicente",Los piratas del Golfo,Literatura Hispanoamericana
"Riva Palacio, Vicente","Monja y Casada, Virgen y Mártir",Palabras sinfónicas (audiolibros)
"Rivera, José Eustasio",La vorágine,Literatura Hispanoamericana|Historia y Novela histórica
"Rizal, José",Noli me tangere,Literatura Universal
"Rizal, José",El filibusterismo,Literatura Universal
"Rodó, José",Ariel,Literatura Hispanoamericana|Ensayo
"Rojas, Fernando de",La Celestina,Literatura Universal|Literatura Hispanoamericana
"Róterdam, Erasmo de",Elogio de la locura,Literatura Universal
"Rousseau, Jean-Jacques",Emilio o De la Educación,Ensayo|Autoayuda
"Ruiz de Alarcón, Juan",La verdad sospechosa,Literatura Hispanoamericana
"Saint-Exupéry, Antoine de",El Principito,Literatura Universal|Infantil y juvenil|Autoayuda
"Saint-Exupéry, Antoine de",Vuelo nocturno,Literatura Universal
"Saint-Exupéry, Antoine de",El Principito,Palabras sinfónicas (audiolibros)
"Salgari, Emilio",El capitán Tormenta,Literatura Universal
"Samaniego, Félix María",Fábulas,Literatura Universal|Literatura Hispanoamericana|Infantil y juvenil
"Samaniego, Félix María",Fábulas,Palabras sinfónicas (audiolibros)
San Agustín,Confesiones de San Agustín. Tomo I,Ensayo
San Agustín,Confesiones de San Agustín. Tomo II,Ensayo
Sanborns,Gastronomía Mexicana,Gastronomía
"Sand, George",Cuentos de una abuela,Literatura Universal|Autoayuda
"Sand, George",Los fuegos fatuos,Literatura Universal
"Sand, George",The devil's pool,Literatura Universal
Santa Teresa de Jesús,Camino de perfección,Ensayo|Autoayuda
"Sarmiento, Domingo",Facundo,Palabras sinfónicas (audiolibros)
"Sarmiento, Faustino Domingo",Facundo,Literatura Hispanoamericana|Historia y Novela histórica|Ensayo
"Sbarbi y Osuna, José María","Diccionario de refranes, adagios, proverbios, modismos, locuciones y frases proverbiales",Académicos
"Schopenhauer, Arthur",El arte de ser feliz,Autoayuda
"Scott, Walter",Ivanhoe,Literatura Universal
"Scott, Walter",Robin Hood,Literatura Universal
"Scott, Walter",Guy Mannering,Literatura Universal
"Scott, Walter",Ivanhoe: A romance,Literatura Universal
"Scott, Walter",The lady of the lake,Literatura Universal
Séneca,De la brevedad de la vida,Ensayo|Autoayuda
"Serrano, Emilia",América y sus mujeres,Literatura Hispanoamericana|Historia y Novela histórica|Ensayo
"Sewell, Anna",Belleza negra,Literatura Universal
"Shakespeare, William",La fierecilla domada,Literatura Universal
"Shakespeare, William",Romeo y Julieta,Literatura Universal
"Shakespeare, William",Macbeth,Literatura Universal
"Shakespeare, William",Hamlet,Literatura Universal
"Shakespeare, William",El sueño de una noche de verano,Literatura Universal
"Shakespeare, William",La tempestad,Literatura Universal
"Shakespeare, William",El rey Lear,Literatura Universal
"Shakespeare, William",Julio César,Literatura Universal
"Shakespeare, William",El mercader de Venecia,Literatura Universal
"Shakespeare, William",Otelo,Literatura Universal
"Shakespeare, William",Antonio y Cleopatra,Literatura Universal
"Shakespeare, William",Mucho ruido y pocas nueces,Literatura Universal
"Shakespeare, William",The Taming of the Shrew,Literatura Universal
"Shakespeare, William",Romeo and Juliet,Literatura Universal
"Shakespeare, William",Macbeth,Literatura Universal
"Shakespeare, William","Hamlet, Prince of Denmark",Literatura Universal
"Shakespeare, William",A buen fin no hay mal principio,Literatura Universal
"Shakespeare, William",The Tragedy of King Lear,Literatura Universal
"Shakespeare, William",The Tempest,Literatura Universal
"Shakespeare, William",The Merchant of Venice,Literatura Universal
"Shakespeare, William",Othello,Literatura Universal
"Shakespeare, William",Julius Caesar,Literatura Universal
"Shaw, George Bernard",Pigmalión,Literatura Universal
"Shelley, Mary",Frankenstein,Literatura Universal
"Shelley, Mary",The Modern Prometheus,Infantil y juvenil
"Sierra, Justo",Evolución política del pueblo mexicano,Historia y Novela histórica
"Simeón, Rémi",Diccionario de la lengua náhuatl o mexicana. Vol 1,Académicos
"Simeón, Rémi",Diccionario de la lengua náhuatl o mexicana. Vol 1,Académicos
"Sinúes, María del Pilar",La mujer en nuestros días,Ensayo
"Sixto, José",Memorias de un vigilante,Literatura Hispanoamericana
"Smiles, Samuel",El carácter,Autoayuda
"Smith, Adam",La riqueza de las naciones,Literatura Universal
"Smith, Adam",La teoría de los sentimientos morales,Ensayo
"Smith, Adam",La mano invisible,Ensayo
Sófocles,Edipo rey,Literatura Universal
Sófocles,Edipo en Colono,Literatura Universal
Sófocles,Antígona,Literatura Universal
Sófocles,Áyax,Literatura Universal
Sófocles,Electra,Literatura Universal
Sófocles,Edipo Rey,Palabras sinfónicas (audiolibros)
Sophocles,King Oedipus,Literatura Universal
Sophocles,Antigone,Literatura Universal
Sophocles,Oedipus at Colonus,Literatura Universal
Sophocles,Electra,Literatura Universal
Sophocles,Aias,Literatura Universal
"Sōseki, Natsume",Almohada de hierba,Literatura Universal
"Sōseki, Natsume",Sueño de la libélula,Literatura Universal
"Spyri, Johanna",Heidi,Infantil y juvenil
"Spyri, Johanna",Heidi,Infantil y juvenil
Stendhal,Rojo y negro,Literatura Universal
Stendhal,The Red and the Black: A Chronicle of 1830,Literatura Universal
"Stevenson, Robert Louis",El extraño caso del doctor Jekyll y el señor Hyde,Literatura Universal
"Stevenson, Robert Louis",La isla del tesoro,Infantil y juvenil
"Stevenson, Robert Louis",Aventuras de un cadáver,Literatura Universal|Infantil y juvenil
"Stevenson, Robert Louis",Apología del ocio,Ensayo
"Stevenson, Robert Louis",The Strange Case of Dr. Jekyll and Mr. Hyde,Infantil y juvenil
"Stevenson, Robert Louis",Treasure Island,Literatura Universal
"Stevenson, Robert Louis",The wrong box,Literatura Universal
"Stevenson, Robert Louis",El extraño caso del doctor Jekyll y el señor Hyde,Palabras sinfónicas (audiolibros)
"Stoker, Bram",Drácula,Literatura Universal
"Stoker, Bram",Dracula,Infantil y juvenil
"Storni, Alfonsina","Poemas (Storni, Alfonsina)",Literatura Hispanoamericana
"Stuart Mill, John",Sobre la libertad,Autoayuda
"Swett Marden, Orison",La alegría de vivir,Autoayuda
"Swift, Jonathan",Los viajes de Gulliver,Literatura Universal|Infantil y juvenil
"Swift, Jonathan",Una humilde propuesta,Literatura Universal
"Swift, Jonathan",Gulliver's Travels into Several Remote Nations of the World,Infantil y juvenil
"Swift, Jonathan",A modest proposal,Literatura Universal
Tárrago y Mateos,El cuento de la abuelita,Literatura Hispanoamericana
"Thackeray, William Makepeace",Vanity Fair,Literatura Universal
"Thoreau, Henry David",Cartas a un buscador de sí mismo,Ensayo
"Thoreau, Henry David",Todo lo bueno es libre y salvaje,Ensayo
"Thoreau, Henry David",Un paseo invernal,Ensayo
"Tolstói, León",Ana Karenina,Literatura Universal
"Tolstói, León",La camisa del hombre feliz,Literatura Universal
"Tolstoy, Leo",Anna Karenina,Literatura Universal
"Twain, Mark",Las aventuras de Tom Sawyer,Literatura Universal
"Twain, Mark",El príncipe y el mendigo,Literatura Universal
"Twain, Mark",El robo del elefante blanco,Literatura Universal
"Twain, Mark",Las aventuras de Huckleberry Finn,Literatura Universal
"Twain, Mark",Adventures of Huckleberry Finn,Infantil y juvenil
"Twain, Mark",The Adventures of Tom Sawyer,Infantil y juvenil
"Twain, Mark",The Prince and the Pauper,Literatura Universal
"Twain, Mark",The Stolen White Elephant,Literatura Universal
"Twain, Mark",Las aventuras de Tom Sawyer,Palabras sinfónicas (audiolibros)
"Tzu, Sun",El arte de la guerra,Literatura Universal|Ensayo|Autoayuda
"Unamuno, Miguel de",La Tía Tula,Literatura Universal|Literatura Hispanoamericana
"Unamuno, Miguel de",Niebla,Literatura Universal|Literatura Hispanoamericana
"Unamuno, Miguel de",El otro,Literatura Universal
"Unamuno, Miguel de",Abel Sánchez,Literatura Hispanoamericana
"Unamuno, Miguel de",¡Adentro!,Literatura Hispanoamericana
"Unamuno, Miguel de",Amor y pedagogía,Literatura Hispanoamericana
"Unamuno, Miguel de",La tía Tula,Palabras sinfónicas (audiolibros)
"Valdelomar, Abraham",El vuelo de los cóndores,Literatura Hispanoamericana
"Valera, Juan",Juanita la Larga,Literatura Universal|Literatura Hispanoamericana
"Valera, Juan",Pepita Jiménez,Literatura Universal|Literatura Hispanoamericana
"Valera, Juan",Junita la larga,Palabras sinfónicas (audiolibros)
"Valera, Juan",Pepita Jiménez,Palabras sinfónicas (audiolibros)
"Valle Inclán, Ramón María del",Tirano Banderas,Historia y Novela histórica
"Vallejo, César","Selección de poemas (Vallejo, César)",Literatura Hispanoamericana
"Vallejo, César",Paco Yunque,Infantil y juvenil
"Vasconcelos, José",La Raza Cósmica,Literatura Hispanoamericana|Ensayo
"Vasconcelos, José",La raza cósmica,Palabras sinfónicas (audiolibros)
"Vega, Inca Garcilaso de la",Comentarios reales de los Incas,Historia y Novela histórica
"Vega, Lope de",El perro del hortelano,Literatura Hispanoamericana
"Vega, Lope de",La discreta enamorada,Literatura Hispanoamericana
"Verne, Jules",Twenty Thousand Leagues under the Sea,Infantil y juvenil
"Verne, Jules",Around the World in Eighty Days,Infantil y juvenil
"Verne, Jules",A Journey to the Center of the Earth,Infantil y juvenil
"Verne, Jules",The Mysterious Island,Infantil y juvenil
"Verne, Jules",From the Earth to the Moon,Infantil y juvenil
"Verne, Julio",La vuelta al mundo en 80 días,Literatura Universal
"Verne, Julio",Veinte mil leguas de viaje submarino,Literatura Universal|Infantil y juvenil
"Verne, Julio",Viaje al centro de la tierra,Literatura Universal|Infantil y juvenil
"Verne, Julio",La isla misteriosa,Literatura Universal
"Verne, Julio",Alrededor de la luna,Literatura Universal
"Verne, Julio",De la tierra a la luna,Literatura Universal
"Verne, Julio",La esfinge de los hielos,Literatura Universal
"Verne, Julio",Dueño del mundo,Literatura Universal
"Verne, Julio",Ante la bandera,Literatura Universal
"Verne, Julio",La vuelta al mundo en 80 días,Palabras sinfónicas (audiolibros)
"Vikelas, Dimitrios",En casa del oculista,Literatura Universal
Virgil,The Aeneid,Literatura Universal
Virgilio,Eneida,Literatura Universal
Voltaire,Cándido o el optimismo,Literatura Universal
Voltaire,Diccionario filosófico. Vol. 1,Académicos
Voltaire,Candide,Literatura Universal
Voltaire,Letters on England,Literatura Universal
"Waldo Emerson, Ralph",Essays,Literatura Universal
"Washington, Irving",La leyenda de Sleepy Hollow y otros cuentos de fantasmas,Literatura Universal
"Washington, Irving",The Legend of Sleepy Hollow,Infantil y juvenil
"Weber, Max",Economía y sociedad,Ensayo
"Wells, H. G.",La guerra de los mundos,Literatura Universal
"Wells, H. G.",La máquina del tiempo,Literatura Universal
"Wells, H. G.",El hombre invisible,Literatura Universal
"Wells, H. G.",El país de los ciegos,Literatura Universal
"Wells, H. G.",La puerta en el muro,Literatura Universal
"Wharton, Edith",La edad de la inocencia,Literatura Universal
"Wilde, Oscar",El retrato de Dorian Gray,Literatura Universal
"Wilde, Oscar",El fantasma de Canterville,Literatura Universal
"Wilde, Oscar",Las artes decorativas y la filosofía del vestido,Ensayo
"Wilde, Oscar",Cuentos completos,Literatura Universal
"Wilde, Oscar",El secreto de la vida,Literatura Universal
"Wilde, Oscar",La importancia de llamarse Ernesto,Literatura Universal
"Wilde, Oscar",The Picture of Dorian Gray,Infantil y juvenil
"Wilde, Oscar",The Canterville Ghost,Literatura Universal
"Wilde, Oscar",El retrato de Dorian Gray,Palabras sinfónicas (audiolibros)
"Williams, Florence White",Álgebra recreativa,Académicos
"Williams, Florence White",The Little Red Hen,Infantil y juvenil
"Zahonero, José","Pezuco, el abuelo manco",Literatura Hispanoamericana
"Zarco, Francisco",Castillos en el aire y otros textos mordaces,Literatura Hispanoamericana
"Zola, Émile",Yo acuso,Literatura Universal|Ensayo|Autoayuda
"Zola, Émile",Nana,Literatura Universal
"Zola, Émile",La bestia humana,Literatura Universal
"Zola, Émile",El paraíso de los gatos,Literatura Universal
"Zola, Émile",La alegría de vivir,Literatura Universal
"Zola, Émile",La alegría de vivir,Palabras sinfónicas (audiolibros)
"Zorrilla, José",Don Juan Tenorio,Literatura Universal|Literatura Hispanoamericana
"Zweig, Stefan",Novela de ajedrez,Literatura Universal